코드,시도군구
911010,서울 종로구
911020,서울 중구
911030,서울 용산구
911040,서울 성동구
911050,서울 광진구
911060,서울 동대문구
911070,서울 중랑구
911080,서울 성북구
911090,서울 강북구
911100,서울 도봉구
911110,서울 노원구
911120,서울 은평구
911130,서울 서대문구
911140,서울 마포구
911150,서울 양천구
911160,서울 강서구
911170,서울 구로구
911180,서울 금천구
911190,서울 영등포구
911200,서울 동작구
911210,서울 관악구
911220,서울 서초구
911230,서울 강남구
911240,서울 송파구
911250,서울 강동구
921010,부산 중구
921020,부산 서구
921030,부산 동구
921040,부산 영도구
921050,부산 부산진구
921060,부산 동래구
921070,부산 남구
921080,부산 북구
921090,부산 해운대구
921100,부산 사하구
921110,부산 금정구
921120,부산 강서구
921130,부산 연제구
921140,부산 수영구
921150,부산 사상구
921310,부산 기장군
922010,대구 중구
922020,대구 동구
922030,대구 서구
922040,대구 남구
922050,대구 북구
922060,대구 수성구
922070,대구 달서구
922310,대구 달성군
923010,인천 중구
923020,인천 동구
923030,인천 남구
923040,인천 연수구
923050,인천 남동구
923060,인천 부평구
923070,인천 계양구
923080,인천 서구
923310,인천 강화군
923320,인천 옹진군
924010,광주 동구
924020,광주 서구
924030,광주 남구
924040,광주 북구
924050,광주 광산구
925010,대전 동구
925020,대전 중구
925030,대전 서구
925040,대전 유성구
925050,대전 대덕구
926010,울산 중구
926020,울산 남구
926030,울산 동구
926040,울산 북구
926310,울산 울주군
929010,세종 세종시전체
931010,경기 수원시
931020,경기 성남시
931030,경기 의정부시
931040,경기 안양시
931050,경기 부천시
931060,경기 광명시
931070,경기 평택시
931080,경기 동두천시
931090,경기 안산시
931100,경기 고양시
931110,경기 과천시
931120,경기 구리시
931130,경기 남양주시
931140,경기 오산시
931150,경기 시흥시
931160,경기 군포시
931170,경기 의왕시
931180,경기 하남시
931190,경기 용인시
931200,경기 파주시
931210,경기 이천시
931220,경기 안성시
931230,경기 김포시
931240,경기 화성시
931250,경기 광주시
931260,경기 양주시
931270,경기 포천시
931320,경기 여주군
931350,경기 연천군
931370,경기 가평군
931380,경기 양평군
932010,강원 춘천시
932020,강원 원주시
932030,강원 강릉시
932040,강원 동해시
932050,강원 태백시
932060,강원 속초시
932070,강원 삼척시
932310,강원 홍천군
932320,강원 횡성군
932330,강원 영월군
932340,강원 평창군
932350,강원 정선군
932360,강원 철원군
932370,강원 화천군
932380,강원 양구군
932390,강원 인제군
932400,강원 고성군
932410,강원 양양군
933010,충북 청주시
933020,충북 충주시
933030,충북 제천시
933310,충북 청원군
933320,충북 보은군
933330,충북 옥천군
933340,충북 영동군
933350,충북 진천군
933360,충북 괴산군
933370,충북 음성군
933380,충북 단양군
933390,충북 증평군
934010,충남 천안시
934020,충남 공주시
934030,충남 보령시
934040,충남 아산시
934050,충남 서산시
934060,충남 논산시
934070,충남 계룡시
934080,충남 당진시
934310,충남 금산군
934320,충남 연기군
934330,충남 부여군
934340,충남 서천군
934350,충남 청양군
934360,충남 홍성군
934370,충남 예산군
934380,충남 태안군
935010,전북 전주시
935020,전북 군산시
935030,전북 익산시
935040,전북 정읍시
935050,전북 남원시
935060,전북 김제시
935310,전북 완주군
935320,전북 진안군
935330,전북 무주군
935340,전북 장수군
935350,전북 임실군
935360,전북 순창군
935370,전북 고창군
935380,전북 부안군
936010,전남 목포시
936020,전남 여수시
936030,전남 순천시
936040,전남 나주시
936060,전남 광양시
936310,전남 담양군
936320,전남 곡성군
936330,전남 구례군
936350,전남 고흥군
936360,전남 보성군
936370,전남 화순군
936380,전남 장흥군
936390,전남 강진군
936400,전남 해남군
936410,전남 영암군
936420,전남 무안군
936430,전남 함평군
936440,전남 영광군
936450,전남 장성군
936460,전남 완도군
936470,전남 진도군
936480,전남 신안군
937010,경북 포항시
937020,경북 경주시
937030,경북 김천시
937040,경북 안동시
937050,경북 구미시
937060,경북 영주시
937070,경북 영천시
937080,경북 상주시
937090,경북 문경시
937100,경북 경산시
937310,경북 군위군
937320,경북 의성군
937330,경북 청송군
937340,경북 영양군
937350,경북 영덕군
937360,경북 청도군
937370,경북 고령군
937380,경북 성주군
937390,경북 칠곡군
937400,경북 예천군
937410,경북 봉화군
937420,경북 울진군
937430,경북 울릉군
938030,경남 진주시
938050,경남 통영시
938060,경남 사천시
938070,경남 김해시
938080,경남 밀양시
938090,경남 거제시
938100,경남 양산시
938110,경남 통합창원시
938310,경남 의령군
938320,경남 함안군
938330,경남 창녕군
938340,경남 고성군
938350,경남 남해군
938360,경남 하동군
938370,경남 산청군
938380,경남 함양군
938390,경남 거창군
938400,경남 합천군
939010,제주 제주시
939020,제주 서귀포시
